,Time,Open,High,Low,Close,Volume
35069,2021-01-07 15:40:00,509.94,510.35,509.88,510.22,23650
35070,2021-01-07 15:45:00,510.195,510.28,509.39,509.76,23821
35071,2021-01-07 15:50:00,509.71,510.225,508.95,508.985,46414
35072,2021-01-07 15:55:00,508.88,509.67,508.41,509.36,97321
35073,2021-01-07 16:00:00,509.29,509.34,508.035,508.79,179092
35074,2021-01-07 16:05:00,508.89,508.89,508.0,508.89,176771
35075,2021-01-07 16:10:00,508.29,508.89,508.29,508.5,1167
35076,2021-01-07 16:15:00,508.69,509.0,508.55,508.89,3561
35077,2021-01-07 16:20:00,509.88,509.99,509.14,509.14,1108
35078,2021-01-07 16:35:00,508.9,508.9,508.89,508.89,853
35079,2021-01-07 16:45:00,508.9,508.9,508.9,508.9,262
35080,2021-01-07 16:50:00,508.8,508.8,508.8,508.8,245
35081,2021-01-07 16:55:00,508.8,508.8,508.8,508.8,160
35082,2021-01-07 17:20:00,508.89,508.89,508.89,508.89,40100
35083,2021-01-07 19:10:00,509.9,509.9,509.9,509.9,295
35084,2021-01-07 19:20:00,509.01,509.01,509.01,509.01,145
35085,2021-01-07 19:30:00,509.5,509.5,509.5,509.5,100
35086,2021-01-07 19:35:00,509.03,509.16,509.03,509.05,708
35087,2021-01-07 19:45:00,509.0001,509.0001,509.0001,509.0001,517
35088,2021-01-07 19:55:00,509.67,509.68,509.67,509.68,769
35089,2021-01-07 20:00:00,509.9,509.99,509.9,509.99,276
35090,2021-01-08 04:05:00,508.38,508.38,508.38,508.38,200
35091,2021-01-08 05:55:00,511.0,511.0,511.0,511.0,100
35092,2021-01-08 06:20:00,510.0,510.0,510.0,510.0,784
35093,2021-01-08 06:25:00,509.5,509.7,509.5,509.7,699
35094,2021-01-08 07:05:00,510.37,510.37,510.37,510.37,105
35095,2021-01-08 07:15:00,510.25,510.25,510.25,510.25,417
35096,2021-01-08 07:20:00,510.0,510.0,510.0,510.0,110
35097,2021-01-08 07:25:00,509.7,509.7,509.7,509.7,310
35098,2021-01-08 07:35:00,509.65,509.65,509.65,509.65,118
35099,2021-01-08 07:50:00,509.43,509.7,509.43,509.67,681
35100,2021-01-08 07:55:00,510.25,510.25,510.25,510.25,540
35101,2021-01-08 08:05:00,511.0,511.1577,509.01,511.1577,1544
35102,2021-01-08 08:15:00,510.4,510.4,510.4,510.4,893
35103,2021-01-08 08:20:00,510.5,510.8,510.5,510.8,931
35104,2021-01-08 08:25:00,510.82,510.82,510.6,510.6,1088
35105,2021-01-08 08:35:00,510.5,510.5,510.4,510.4,914
35106,2021-01-08 08:45:00,510.89,510.89,510.89,510.89,503
35107,2021-01-08 08:50:00,511.58,511.6,511.58,511.6,825
35108,2021-01-08 08:55:00,512.0,512.26,511.13,511.13,1835
35109,2021-01-08 09:05:00,511.77,511.77,511.77,511.77,644
35110,2021-01-08 09:15:00,512.15,512.15,512.15,512.15,417
35111,2021-01-08 09:25:00,512.0,512.0,511.49,511.49,647
